ip,port,country,colo,colo_country,region,city,tcp_latency_ms,tls_latency_ms,http_latency_ms,average_latency_ms,tcp_jitter_ms,tls_jitter_ms,http_jitter_ms,jitter_ms,loss_rate,speed_mbps,tls_version,score
104.19.235.190,443,XX,,,,,197.16,,,197.16,9.549,,,9.549,0.0,6.398,,0.0
54.180.141.246,443,KR,,,,,122.301,,,122.301,6.397,,,6.397,0.0,6.353,,0.0
213.165.44.26,8443,DE,,,,,170.195,,,170.195,36.034,,,36.034,0.0,6.34,,0.0
2.27.24.35,443,DE,,,,,153.114,,,153.114,10.149,,,10.149,0.0,6.323,,0.0
162.159.155.129,443,XX,,,,,90.82,,,90.82,10.552,,,10.552,0.0,6.295,,0.0
104.16.223.206,443,XX,,,,,186.885,,,186.885,8.763,,,8.763,0.0,6.25,,0.0
193.181.211.119,8443,DK,,,,,190.087,,,190.087,23.306,,,23.306,0.0,6.217,,0.0
162.159.129.127,443,XX,,,,,89.212,,,89.212,13.294,,,13.294,0.0,6.191,,0.0
52.221.158.37,443,SG,,,,,86.126,,,86.126,5.33,,,5.33,0.0,6.148,,0.0
13.124.169.29,443,KR,,,,,125.23,,,125.23,3.243,,,3.243,0.0,6.135,,0.0
162.159.139.251,443,XX,,,,,91.72,,,91.72,7.748,,,7.748,0.0,6.125,,0.0
104.18.150.253,443,XX,,,,,187.11,,,187.11,8.254,,,8.254,0.0,6.124,,0.0
104.16.199.23,443,XX,,,,,189.196,,,189.196,7.415,,,7.415,0.0,6.092,,0.0
46.137.229.208,443,SG,,,,,87.916,,,87.916,7.249,,,7.249,0.0,6.081,,0.0
104.19.102.101,443,XX,,,,,197.198,,,197.198,3.093,,,3.093,0.0,6.075,,0.0
193.32.8.95,443,NL,,,,,194.089,,,194.089,22.937,,,22.937,0.0,6.046,,0.0
45.74.3.80,443,RU,,,,,124.936,,,124.936,6.007,,,6.007,0.0,6.038,,0.0
104.16.69.70,443,XX,,,,,187.428,,,187.428,10.176,,,10.176,0.0,6.037,,0.0
104.18.32.189,443,XX,,,,,196.479,,,196.479,4.413,,,4.413,0.0,6.023,,0.0
104.17.74.94,443,XX,,,,,197.647,,,197.647,0.958,,,0.958,0.0,6.021,,0.0
2.56.212.172,443,NL,,,,,173.777,,,173.777,25.706,,,25.706,0.0,6.007,,0.0
162.159.138.34,443,XX,,,,,100.539,,,100.539,8.411,,,8.411,0.0,5.986,,0.0
104.18.89.131,443,XX,,,,,190.198,,,190.198,1.719,,,1.719,0.0,5.953,,0.0
46.29.162.166,443,RU,,,,,125.098,,,125.098,3.785,,,3.785,0.0,5.937,,0.0
109.176.19.174,443,SG,,,,,128.451,,,128.451,9.378,,,9.378,0.0,5.936,,0.0
104.20.19.98,443,XX,,,,,95.901,,,95.901,10.56,,,10.56,0.0,5.934,,0.0
18.193.131.26,443,DE,,,,,153.433,,,153.433,5.43,,,5.43,0.0,5.916,,0.0
91.98.135.54,443,DE,,,,,192.862,,,192.862,24.83,,,24.83,0.0,5.909,,0.0
116.202.187.28,8443,DE,,,,,187.985,,,187.985,53.861,,,53.861,0.0,5.899,,0.0
104.19.48.217,443,XX,,,,,191.513,,,191.513,8.86,,,8.86,0.0,5.897,,0.0
162.159.137.247,443,XX,,,,,97.076,,,97.076,8.471,,,8.471,0.0,5.878,,0.0
111.88.74.167,443,DE,,,,,167.491,,,167.491,25.641,,,25.641,0.0,5.861,,0.0
85.121.245.35,443,HK,,,,,128.943,,,128.943,8.009,,,8.009,0.0,5.845,,0.0
91.98.150.69,8443,DE,,,,,179.365,,,179.365,26.84,,,26.84,0.0,5.835,,0.0
37.123.193.44,8443,US,,,,,166.679,,,166.679,4.927,,,4.927,0.0,5.822,,0.0
104.18.46.108,443,XX,,,,,197.709,,,197.709,1.129,,,1.129,0.0,5.822,,0.0
104.18.78.23,443,XX,,,,,189.349,,,189.349,4.982,,,4.982,0.0,5.82,,0.0
104.16.151.59,443,XX,,,,,186.973,,,186.973,2.746,,,2.746,0.0,5.785,,0.0
178.104.88.132,443,DE,,,,,169.636,,,169.636,21.412,,,21.412,0.0,5.732,,0.0
104.18.43.125,443,XX,,,,,196.458,,,196.458,1.482,,,1.482,0.0,5.714,,0.0
104.19.139.55,443,XX,,,,,188.624,,,188.624,7.042,,,7.042,0.0,5.703,,0.0
104.19.2.211,443,XX,,,,,190.87,,,190.87,4.072,,,4.072,0.0,5.697,,0.0
116.202.9.203,443,DE,,,,,188.898,,,188.898,31.005,,,31.005,0.0,5.68,,0.0
207.57.131.172,443,HK,,,,,56.892,,,56.892,5.218,,,5.218,0.0,5.679,,0.0
91.107.144.240,443,DE,,,,,149.489,,,149.489,6.392,,,6.392,0.0,5.679,,0.0
188.253.25.38,8443,NL,,,,,195.916,,,195.916,17.107,,,17.107,0.0,5.676,,0.0
104.16.177.28,443,XX,,,,,190.406,,,190.406,4.933,,,4.933,0.0,5.646,,0.0
213.165.48.10,443,FR,,,,,189.679,,,189.679,48.888,,,48.888,0.0,5.645,,0.0
104.18.0.24,443,XX,,,,,189.595,,,189.595,7.804,,,7.804,0.0,5.643,,0.0
178.105.129.95,443,DE,,,,,152.171,,,152.171,1.18,,,1.18,0.0,5.638,,0.0
104.18.99.214,443,XX,,,,,196.473,,,196.473,5.523,,,5.523,0.0,5.638,,0.0
162.159.145.134,443,XX,,,,,88.757,,,88.757,9.366,,,9.366,0.0,5.636,,0.0
94.16.108.158,443,DE,,,,,173.851,,,173.851,21.808,,,21.808,0.0,5.636,,0.0
104.16.169.184,443,XX,,,,,187.055,,,187.055,1.617,,,1.617,0.0,5.621,,0.0
185.110.188.194,8443,DE,,,,,174.812,,,174.812,28.68,,,28.68,0.0,5.619,,0.0
176.118.214.216,443,RU,,,,,156.806,,,156.806,7.93,,,7.93,0.0,5.599,,0.0
2.56.246.55,2053,DE,,,,,152.967,,,152.967,7.793,,,7.793,0.0,5.596,,0.0
46.4.27.170,443,DE,,,,,174.99,,,174.99,22.786,,,22.786,0.0,5.584,,0.0
104.16.191.142,443,XX,,,,,188.793,,,188.793,3.712,,,3.712,0.0,5.569,,0.0
185.218.19.53,443,DE,,,,,151.137,,,151.137,4.979,,,4.979,0.0,5.567,,0.0
91.98.92.244,2053,DE,,,,,199.893,,,199.893,43.584,,,43.584,0.0,5.566,,0.0
104.17.184.67,443,XX,,,,,194.631,,,194.631,11.574,,,11.574,0.0,5.531,,0.0
130.195.222.215,443,AT,,,,,196.395,,,196.395,22.557,,,22.557,0.0,5.519,,0.0
89.169.53.88,443,GB,,,,,187.827,,,187.827,24.882,,,24.882,0.0,5.514,,0.0
83.172.138.169,8443,DE,,,,,169.834,,,169.834,18.996,,,18.996,0.0,5.488,,0.0
31.220.42.227,8443,NL,,,,,178.432,,,178.432,16.534,,,16.534,0.0,5.481,,0.0
159.69.207.218,8443,DE,,,,,178.472,,,178.472,24.973,,,24.973,0.0,5.464,,0.0
91.132.162.251,8443,DE,,,,,180.608,,,180.608,55.183,,,55.183,0.0,5.461,,0.0
162.159.146.222,443,XX,,,,,89.344,,,89.344,13.736,,,13.736,0.0,5.456,,0.0
95.181.160.83,443,DE,,,,,193.47,,,193.47,29.217,,,29.217,0.0,5.44,,0.0
185.37.8.121,443,NL,,,,,198.229,,,198.229,48.041,,,48.041,0.0,5.436,,0.0
198.41.214.20,443,XX,,,,,198.856,,,198.856,9.436,,,9.436,0.0,5.426,,0.0
178.104.19.178,443,DE,,,,,189.804,,,189.804,50.047,,,50.047,0.0,5.419,,0.0
109.120.176.145,8443,DE,,,,,186.758,,,186.758,50.256,,,50.256,0.0,5.413,,0.0
